Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"beautiful",625,208,2491.13159,308.68091,6.340
"wonderful",268,63,1068.19727,93.49470,6.037
"love",1495,636,5958.78711,943.85126,5.804
"fun",347,111,1383.07629,164.72876,5.602
"amazing",354,124,1410.97693,184.02132,5.320
"enjoy",766,355,3053.13086,526.83521,5.030
"beautifully",219,83,872.89252,123.17555,4.359
"highly",227,92,904.77899,136.53194,4.248
"absolutely",205,82,817.09113,121.69151,4.137
"fantastic",177,64,705.48846,94.97874,4.131
"enjoyable",169,59,673.60199,87.55853,4.125
"excellent",276,131,1100.08374,194.40961,4.076
"gorgeous",137,44,546.05603,65.29788,3.908
"lovely",135,47,538.08441,69.75002,3.759
"stunning",115,33,458.36819,48.97341,3.748
"recommend",479,297,1909.20325,440.76071,3.716
"fascinating",261,147,1040.29651,218.15430,3.584
"entertaining",113,42,450.39658,62.32980,3.391
"great",1002,747,3993.78223,1108.57996,3.387
"quick",204,116,813.10535,172.14897,3.355
"informative",175,96,697.51685,142.46811,3.289
"gogh",117,50,466.33984,74.20214,3.251
"graciela",71,13,282.99255,19.29256,3.211
"brilliant",127,60,506.19794,89.04257,3.207
"awesome",75,18,298.93579,26.71277,3.148
"feynman",246,165,980.50940,244.86707,3.133
"iturbide",82,27,326.83646,40.06916,3.047
"fan",464,377,1849.41614,559.48413,2.956
"definitely",242,176,964.56616,261.19153,2.947
"wow",77,29,306.90741,43.03724,2.845
"illustration",498,427,1984.93359,633.68628,2.842
"perfect",127,78,506.19794,115.75534,2.810
"wonderfully",60,14,239.14864,20.77660,2.808
"glad",108,60,430.46753,89.04257,2.806
"nice",228,179,908.76477,265.64368,2.759
"incredible",120,75,478.29727,111.30322,2.737
"learn",643,589,2562.87622,874.10120,2.734
"favorite",144,100,573.95673,148.40428,2.713
"easy",186,143,741.36078,212.21812,2.695
"read",2291,2315,9131.49219,3435.55933,2.611
"novel",1706,1741,6799.79297,2583.71851,2.571
"cool",119,85,474.31146,126.14364,2.540
"thoroughly",55,18,219.21957,26.71277,2.519
"delightful",41,4,163.41823,5.93617,2.487
"netgalley",125,95,498.22632,140.98407,2.482
"unique",114,84,454.38239,124.65960,2.468
"favourite",57,22,227.19119,32.64894,2.467
"vincent",90,58,358.72296,86.07449,2.465
"thank",84,52,334.80807,77.17023,2.454
"artwork",376,374,1498.66479,555.03204,2.441
"greenberg",55,23,219.21957,34.13298,2.380
"bowie",104,79,414.52429,117.23938,2.368
"graphic",1884,2142,7509.26709,3178.81982,2.321
"illustrate",241,241,960.58032,357.65433,2.317
"phenomenal",39,8,155.44661,11.87234,2.283
"music",153,143,609.82898,212.21812,2.274
"darwin",37,6,147.47499,8.90426,2.272
"inspiring",52,24,207.26215,35.61703,2.266
"bronte",55,28,219.21957,41.55320,2.255
"isabel",39,9,155.44661,13.35639,2.253
"copy",138,127,550.04187,188.47343,2.253
"adore",36,6,143.48918,8.90426,2.236
"physicist",44,16,175.37566,23.74469,2.225
"touching",39,10,155.44661,14.84043,2.224
"cash",77,57,306.90741,84.59044,2.204
"photographer",49,23,195.30472,34.13298,2.202
"science",126,117,502.21213,173.63301,2.201
"well",929,1097,3702.81787,1627.99487,2.201
"physic",51,26,203.27634,38.58511,2.188
"really",1185,1420,4723.18506,2107.34082,2.185
"interesting",714,843,2845.86865,1251.04810,2.180
"photography",38,11,151.46080,16.32447,2.162
"thanks",69,50,275.02094,74.20214,2.153
"sweet",44,19,175.37566,28.19681,2.148
"poetic",39,13,155.44661,19.29256,2.141
"an",150,153,597.87158,227.05855,2.134
"van",136,140,542.07025,207.76599,2.086
"captivating",38,14,151.46080,20.77660,2.082
"sitting",40,18,159.43242,26.71277,2.047
"engaging",75,64,298.93579,94.97874,2.046
"brontë",48,30,191.31891,44.52129,2.016
"appreciate",157,177,625.77228,262.67557,2.001
"delight",31,8,123.56013,11.87234,1.998
"nicely",45,27,179.36148,40.06916,1.994
"fabulous",29,6,115.58851,8.90426,1.980
"colour",66,57,263.06351,84.59044,1.967
"format",189,225,753.31818,333.90964,1.967
"outstanding",30,8,119.57432,11.87234,1.963
"art",1046,1404,4169.15771,2083.59619,1.955
"pick",146,169,581.92834,250.80324,1.944
"agatha",62,53,247.12025,78.65427,1.943
"library",103,110,410.53848,163.24471,1.939
"rod",66,59,263.06351,87.55853,1.936
"educational",37,20,147.47499,29.68086,1.908
"photograph",64,58,255.09187,86.07449,1.908
"richard",54,44,215.23376,65.29788,1.907
"physics",39,23,155.44661,34.13298,1.904
"graphics",84,87,334.80807,129.11172,1.898
"buy",62,56,247.12025,83.10640,1.896
"patricia",50,40,199.29053,59.36171,1.878
